[(0, 2, True), (1, 2, True), (2, 3, True), (3, 2, True), (4, 2, True), (5, 1, True), (6, 1, False), (7, 1, False), (8, 3, True), (9, 1, True), (10, 2, True)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 40 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch  29, time= 16.7s | Train: skip eval | Valid: time=  1.2s loss=0.138, TAw acc= 96.2% |
| Epoch  30, time= 16.7s | Train: skip eval | Valid: time=  1.2s loss=0.145, TAw acc= 95.5% |
| Epoch  31, time= 16.3s | Train: skip eval | Valid: time=  1.2s loss=0.109, TAw acc= 95.5% |
| Epoch  32, time= 16.6s | Train: skip eval | Valid: time=  1.2s loss=0.118, TAw acc= 96.2% |
| Epoch  33, time= 16.7s | Train: skip eval | Valid: time=  1.2s loss=0.097, TAw acc= 97.0% | *
| Epoch  34, time= 16.7s | Train: skip eval | Valid: time=  1.2s loss=0.113, TAw acc= 97.0% |
| Epoch  35, time= 16.7s | Train: skip eval | Valid: time=  1.2s loss=0.085, TAw acc= 97.0% | *
| Epoch  36, time= 16.7s | Train: skip eval | Valid: time=  1.2s loss=0.162, TAw acc= 94.0% |
| Epoch  37, time= 16.5s | Train: skip eval | Valid: time=  1.2s loss=0.102, TAw acc= 97.0% |
| Epoch  38, time= 16.8s | Train: skip eval | Valid: time=  1.2s loss=0.095, TAw acc= 97.7% |
| Epoch  39, time= 16.8s | Train: skip eval | Valid: time=  1.2s loss=0.137, TAw acc= 96.2% |
| Epoch  40, time= 16.8s | Train: skip eval | Valid: time=  1.2s loss=0.215, TAw acc= 94.7% |
| Epoch  41, time= 16.8s | Train: skip eval | Valid: time=  1.2s loss=0.172, TAw acc= 94.0% |
| Epoch  42, time= 16.9s | Train: skip eval | Valid: time=  1.2s loss=0.174, TAw acc= 92.5% |
| Epoch  43, time= 16.9s | Train: skip eval | Valid: time=  1.2s loss=0.188, TAw acc= 94.0% |
| Epoch  44, time= 16.9s | Train: skip eval | Valid: time=  1.2s loss=0.106, TAw acc= 96.2% |
| Epoch  45, time= 16.6s | Train: skip eval | Valid: time=  1.2s loss=0.164, TAw acc= 93.2% |
| Epoch  46, time= 16.6s | Train: skip eval | Valid: time=  1.2s loss=0.138, TAw acc= 96.2% |
| Epoch  47, time= 16.6s | Train: skip eval | Valid: time=  1.2s loss=0.125, TAw acc= 96.2% |
| Epoch  48, time= 16.5s | Train: skip eval | Valid: time=  1.2s loss=0.089, TAw acc= 97.0% |
| Epoch  49, time= 16.8s | Train: skip eval | Valid: time=  1.2s loss=0.089, TAw acc= 97.0% |
| Epoch  50, time= 16.7s | Train: skip eval | Valid: time=  1.2s loss=0.103, TAw acc= 97.0% |
| Epoch  51, time= 16.8s | Train: skip eval | Valid: time=  1.2s loss=0.116, TAw acc= 96.2% |
| Epoch  52, time= 16.9s | Train: skip eval | Valid: time=  1.2s loss=0.122, TAw acc= 97.7% |
| Epoch  53, time= 16.7s | Train: skip eval | Valid: time=  1.2s loss=0.163, TAw acc= 97.0% |
| Epoch  54, time= 16.9s | Train: skip eval | Valid: time=  1.2s loss=0.157, TAw acc= 97.0% |
| Epoch  55, time= 16.8s | Train: skip eval | Valid: time=  1.2s loss=0.137, TAw acc= 95.5% |
| Epoch  56, time= 16.6s | Train: skip eval | Valid: time=  1.2s loss=0.253, TAw acc= 97.0% |
| Epoch  57, time= 16.9s | Train: skip eval | Valid: time=  1.2s loss=0.165, TAw acc= 94.7% |
| Epoch  58, time= 16.7s | Train: skip eval | Valid: time=  1.2s loss=0.169, TAw acc= 97.7% |
| Epoch  59, time= 16.7s | Train: skip eval | Valid: time=  1.2s loss=0.136, TAw acc= 96.2% |
| Epoch  60, time= 16.9s | Train: skip eval | Valid: time=  1.2s loss=0.147, TAw acc= 96.2% |
| Epoch  61, time= 16.7s | Train: skip eval | Valid: time=  1.2s loss=0.103, TAw acc= 97.0% |
| Epoch  62, time= 16.9s | Train: skip eval | Valid: time=  1.2s loss=0.118, TAw acc= 97.7% |
| Epoch  63, time= 16.9s | Train: skip eval | Valid: time=  1.2s loss=0.117, TAw acc= 96.2% |
| Epoch  64, time= 16.5s | Train: skip eval | Valid: time=  1.3s loss=0.145, TAw acc= 95.5% |
| Epoch  65, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.129, TAw acc= 97.0% |
Stage 2: BiC training for Task 0: alpha=1.00000, beta=0.00000
| Selected 360 train exemplars, time= 12.0s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.081 | TAw acc= 97.1%, forg=  0.0%| TAg acc= 97.1%, forg=  0.0% <<<
Save at results/ntu_bic
************************************************************************************************************
Task  1
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 40 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time= 33.9s | Train: skip eval | Valid: time=  2.3s loss=0.712, TAw acc= 88.1% | *
| Epoch   2, time= 34.6s | Train: skip eval | Valid: time=  2.3s loss=0.585, TAw acc= 78.4% | *
| Epoch   3, time= 34.2s | Train: skip eval | Valid: time=  2.4s loss=0.531, TAw acc= 80.6% | *
| Epoch   4, time= 34.4s | Train: skip eval | Valid: time=  2.3s loss=0.513, TAw acc= 82.8% | *
| Epoch   5, time= 34.5s | Train: skip eval | Valid: time=  2.3s loss=0.483, TAw acc= 89.6% | *
| Epoch   6, time= 34.7s | Train: skip eval | Valid: time=  2.3s loss=0.445, TAw acc= 88.1% | *
| Epoch   7, time= 34.6s | Train: skip eval | Valid: time=  2.3s loss=0.413, TAw acc= 88.1% | *
| Epoch   8, time= 34.7s | Train: skip eval | Valid: time=  2.3s loss=0.794, TAw acc= 67.2% |
| Epoch   9, time= 34.8s | Train: skip eval | Valid: time=  2.2s loss=0.433, TAw acc= 87.3% |
| Epoch  10, time= 34.7s | Train: skip eval | Valid: time=  2.3s loss=0.413, TAw acc= 88.1% | *
| Epoch  11, time= 34.2s | Train: skip eval | Valid: time=  2.3s loss=0.485, TAw acc= 87.3% |
| Epoch  12, time= 34.6s | Train: skip eval | Valid: time=  2.3s loss=0.443, TAw acc= 93.3% |
| Epoch  13, time= 34.6s | Train: skip eval | Valid: time=  2.2s loss=0.434, TAw acc= 88.1% |
| Epoch  14, time= 34.1s | Train: skip eval | Valid: time=  2.3s loss=0.438, TAw acc= 87.3% |
| Epoch  15, time= 34.6s | Train: skip eval | Valid: time=  2.2s loss=0.348, TAw acc= 94.8% | *
| Epoch  16, time= 33.6s | Train: skip eval | Valid: time=  2.3s loss=0.465, TAw acc= 91.8% |
| Epoch  17, time= 34.7s | Train: skip eval | Valid: time=  2.2s loss=0.621, TAw acc= 88.1% |
| Epoch  18, time= 34.6s | Train: skip eval | Valid: time=  2.3s loss=0.372, TAw acc= 95.5% |
| Epoch  19, time= 34.9s | Train: skip eval | Valid: time=  2.3s loss=0.413, TAw acc= 93.3% |
| Epoch  20, time= 34.7s | Train: skip eval | Valid: time=  2.3s loss=0.385, TAw acc= 90.3% |
| Epoch  21, time= 34.3s | Train: skip eval | Valid: time=  2.3s loss=0.349, TAw acc= 94.0% |
| Epoch  22, time= 34.0s | Train: skip eval | Valid: time=  2.3s loss=0.361, TAw acc= 90.3% |
| Epoch  23, time= 34.7s | Train: skip eval | Valid: time=  2.2s loss=0.454, TAw acc= 91.0% |
| Epoch  24, time= 33.5s | Train: skip eval | Valid: time=  2.3s loss=0.387, TAw acc= 90.3% |
| Epoch  25, time= 34.0s | Train: skip eval | Valid: time=  2.3s loss=0.386, TAw acc= 94.8% |
| Epoch  26, time= 34.5s | Train: skip eval | Valid: time=  2.3s loss=0.362, TAw acc= 96.3% |
| Epoch  27, time= 34.7s | Train: skip eval | Valid: time=  2.3s loss=0.600, TAw acc= 77.6% |
| Epoch  28, time= 34.9s | Train: skip eval | Valid: time=  2.3s loss=0.421, TAw acc= 91.8% |
| Epoch  29, time= 34.7s | Train: skip eval | Valid: time=  2.2s loss=0.333, TAw acc= 94.0% | *
| Epoch  30, time= 33.8s | Train: skip eval | Valid: time=  2.4s loss=0.612, TAw acc= 83.6% |
| Epoch  31, time= 34.2s | Train: skip eval | Valid: time=  2.3s loss=0.538, TAw acc= 93.3% |
| Epoch  32, time= 34.6s | Train: skip eval | Valid: time=  2.3s loss=0.289, TAw acc= 96.3% | *
| Epoch  33, time= 34.7s | Train: skip eval | Valid: time=  2.2s loss=0.364, TAw acc= 95.5% |
| Epoch  34, time= 34.5s | Train: skip eval | Valid: time=  2.3s loss=0.569, TAw acc= 94.0% |
| Epoch  35, time= 34.6s | Train: skip eval | Valid: time=  2.3s loss=0.319, TAw acc= 97.0% |
| Epoch  36, time= 34.7s | Train: skip eval | Valid: time=  2.2s loss=0.414, TAw acc= 91.8% |
| Epoch  37, time= 34.7s | Train: skip eval | Valid: time=  2.3s loss=0.416, TAw acc= 94.8% |
| Epoch  38, time= 34.8s | Train: skip eval | Valid: time=  2.3s loss=0.376, TAw acc= 93.3% |
| Epoch  39, time= 33.7s | Train: skip eval | Valid: time=  2.3s loss=0.299, TAw acc= 97.8% |
| Epoch  40, time= 33.9s | Train: skip eval | Valid: time=  2.3s loss=0.310, TAw acc= 96.3% |
| Epoch  41, time= 34.5s | Train: skip eval | Valid: time=  2.3s loss=0.340, TAw acc= 96.3% |
| Epoch  42, time= 34.1s | Train: skip eval | Valid: time=  2.3s loss=0.304, TAw acc= 97.8% |
| Epoch  43, time= 34.0s | Train: skip eval | Valid: time=  2.2s loss=0.356, TAw acc= 96.3% |
| Epoch  44, time= 34.6s | Train: skip eval | Valid: time=  2.3s loss=0.387, TAw acc= 95.5% |
| Epoch  45, time= 34.7s | Train: skip eval | Valid: time=  2.3s loss=0.501, TAw acc= 91.8% |
| Epoch  46, time= 34.7s | Train: skip eval | Valid: time=  2.2s loss=0.416, TAw acc= 88.8% |
| Epoch  47, time= 34.9s | Train: skip eval | Valid: time=  2.2s loss=0.428, TAw acc= 88.8% |
| Epoch  48, time= 34.6s | Train: skip eval | Valid: time=  2.3s loss=0.363, TAw acc= 94.0% |
| Epoch  49, time= 34.8s | Train: skip eval | Valid: time=  2.3s loss=0.354, TAw acc= 94.8% |
| Epoch  50, time= 34.8s | Train: skip eval | Valid: time=  2.3s loss=0.369, TAw acc= 97.8% |
| Epoch  51, time= 34.8s | Train: skip eval | Valid: time=  2.3s loss=0.453, TAw acc= 94.0% |
| Epoch  52, time= 34.8s | Train: skip eval | Valid: time=  2.2s loss=0.352, TAw acc= 94.8% |
| Epoch  53, time= 34.6s | Train: skip eval | Valid: time=  2.3s loss=0.398, TAw acc= 91.8% |
| Epoch  54, time= 34.5s | Train: skip eval | Valid: time=  2.3s loss=0.742, TAw acc= 87.3% |
| Epoch  55, time= 34.2s | Train: skip eval | Valid: time=  2.3s loss=0.474, TAw acc= 91.0% |
| Epoch  56, time= 34.8s | Train: skip eval | Valid: time=  2.3s loss=0.459, TAw acc= 90.3% |
| Epoch  57, time= 34.8s | Train: skip eval | Valid: time=  2.3s loss=0.403, TAw acc= 97.0% |
| Epoch  58, time= 34.0s | Train: skip eval | Valid: time=  2.3s loss=0.411, TAw acc= 90.3% |
| Epoch  59, time= 33.6s | Train: skip eval | Valid: time=  2.3s loss=0.398, TAw acc= 92.5% |
| Epoch  60, time= 33.7s | Train: skip eval | Valid: time=  2.3s loss=0.307, TAw acc= 94.8% |
| Epoch  61, time= 34.6s | Train: skip eval | Valid: time=  2.4s loss=0.354, TAw acc= 95.5% |
| Epoch  62, time= 33.6s | Train: skip eval | Valid: time=  2.3s loss=0.417, TAw acc= 97.0% |
| Epoch  63, time= 34.5s | Train: skip eval | Valid: time=  2.3s loss=0.380, TAw acc= 95.5% |
| Epoch  64, time= 34.8s | Train: skip eval | Valid: time=  2.3s loss=0.331, TAw acc= 96.3% |
| Epoch  65, time= 34.8s | Train: skip eval | Valid: time=  2.3s loss=0.352, TAw acc= 94.0% |
Stage 2: Training bias correction layers
| Epoch  50, time=  0.5s | Train: loss=0.397, TAg acc= 85.0% |
| Epoch 100, time=  0.4s | Train: loss=0.474, TAg acc= 85.0% |
| Epoch 150, time=  0.5s | Train: loss=0.481, TAg acc= 85.0% |
| Epoch 200, time=  0.5s | Train: loss=0.513, TAg acc= 82.5% |
Stage 2: BiC training for Task 0: alpha=1.00000, beta=0.00000
Stage 2: BiC training for Task 1: alpha=0.46401, beta=-0.76082
| Selected 360 train exemplars, time= 13.9s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.323 | TAw acc= 96.4%, forg=  0.7%| TAg acc= 89.6%, forg=  7.5% <<<
>>> Test on task  1 : loss=0.508 | TAw acc= 88.3%, forg=  0.0%| TAg acc= 77.0%, forg=  0.0% <<<
Save at results/ntu_bic
************************************************************************************************************
Task  2
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 42 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time= 47.1s | Train: skip eval | Valid: time=  3.4s loss=0.771, TAw acc= 96.0% | *
| Epoch   2, time= 48.1s | Train: skip eval | Valid: time=  3.3s loss=0.717, TAw acc= 97.0% | *
| Epoch   3, time= 48.1s | Train: skip eval | Valid: time=  3.3s loss=0.697, TAw acc= 98.0% | *
| Epoch   4, time= 48.2s | Train: skip eval | Valid: time=  3.4s loss=0.684, TAw acc= 99.5% | *
| Epoch   5, time= 47.7s | Train: skip eval | Valid: time=  3.3s loss=0.719, TAw acc= 99.0% |
| Epoch   6, time= 48.1s | Train: skip eval | Valid: time=  3.4s loss=0.688, TAw acc= 99.0% |
| Epoch   7, time= 47.1s | Train: skip eval | Valid: time=  3.3s loss=0.680, TAw acc= 99.0% | *
| Epoch   8, time= 47.4s | Train: skip eval | Valid: time=  3.3s loss=0.682, TAw acc= 99.5% |
| Epoch   9, time= 48.3s | Train: skip eval | Valid: time=  3.4s loss=0.679, TAw acc= 99.5% | *
| Epoch  10, time= 47.4s | Train: skip eval | Valid: time=  3.3s loss=0.669, TAw acc= 99.0% | *
| Epoch  11, time= 46.7s | Train: skip eval | Valid: time=  3.2s loss=0.661, TAw acc= 99.5% | *
| Epoch  12, time= 47.2s | Train: skip eval | Valid: time=  3.3s loss=0.666, TAw acc= 99.5% |
| Epoch  13, time= 46.9s | Train: skip eval | Valid: time=  3.3s loss=0.672, TAw acc= 99.5% |
| Epoch  14, time= 46.8s | Train: skip eval | Valid: time=  3.4s loss=0.664, TAw acc= 99.0% |
| Epoch  15, time= 48.1s | Train: skip eval | Valid: time=  3.4s loss=0.665, TAw acc= 99.5% |
| Epoch  16, time= 48.3s | Train: skip eval | Valid: time=  3.4s loss=0.679, TAw acc= 98.0% |
| Epoch  17, time= 48.0s | Train: skip eval | Valid: time=  3.4s loss=0.666, TAw acc= 99.5% |
| Epoch  18, time= 48.2s | Train: skip eval | Valid: time=  3.3s loss=0.664, TAw acc= 99.0% |
| Epoch  19, time= 47.4s | Train: skip eval | Valid: time=  3.3s loss=0.658, TAw acc= 99.5% | *
| Epoch  20, time= 48.2s | Train: skip eval | Valid: time=  3.2s loss=0.654, TAw acc= 99.5% | *
| Epoch  21, time= 46.7s | Train: skip eval | Valid: time=  3.4s loss=0.656, TAw acc= 99.5% |
| Epoch  22, time= 48.2s | Train: skip eval | Valid: time=  3.3s loss=0.678, TAw acc= 99.5% |
| Epoch  23, time= 48.2s | Train: skip eval | Valid: time=  3.3s loss=0.669, TAw acc= 99.5% |
| Epoch  24, time= 48.3s | Train: skip eval | Valid: time=  3.3s loss=0.667, TAw acc= 99.5% |
| Epoch  25, time= 48.1s | Train: skip eval | Valid: time=  3.4s loss=0.664, TAw acc= 99.5% |
| Epoch  26, time= 47.8s | Train: skip eval | Valid: time=  3.4s loss=0.665, TAw acc= 99.0% |
| Epoch  27, time= 47.3s | Train: skip eval | Valid: time=  3.4s loss=0.666, TAw acc= 99.0% |
| Epoch  28, time= 47.7s | Train: skip eval | Valid: time=  3.4s loss=0.664, TAw acc= 99.5% |
| Epoch  29, time= 48.2s | Train: skip eval | Valid: time=  3.3s loss=0.671, TAw acc= 99.0% |
| Epoch  30, time= 47.3s | Train: skip eval | Valid: time=  3.4s loss=0.654, TAw acc= 99.5% | *
| Epoch  31, time= 47.8s | Train: skip eval | Valid: time=  3.4s loss=0.670, TAw acc= 99.5% |
| Epoch  32, time= 48.2s | Train: skip eval | Valid: time=  3.3s loss=0.653, TAw acc= 99.5% | *
| Epoch  33, time= 48.2s | Train: skip eval | Valid: time=  3.4s loss=0.669, TAw acc= 99.5% |
| Epoch  34, time= 48.2s | Train: skip eval | Valid: time=  3.4s loss=0.655, TAw acc= 99.0% |
| Epoch  35, time= 47.8s | Train: skip eval | Valid: time=  3.4s loss=0.670, TAw acc= 99.5% |
| Epoch  36, time= 48.2s | Train: skip eval | Valid: time=  3.4s loss=0.656, TAw acc= 99.5% |
| Epoch  37, time= 47.3s | Train: skip eval | Valid: time=  3.4s loss=0.656, TAw acc= 99.5% |
| Epoch  38, time= 48.1s | Train: skip eval | Valid: time=  3.4s loss=0.656, TAw acc= 99.0% |
| Epoch  39, time= 48.4s | Train: skip eval | Valid: time=  3.4s loss=0.675, TAw acc= 99.0% |
| Epoch  40, time= 48.3s | Train: skip eval | Valid: time=  3.4s loss=0.671, TAw acc= 99.5% |
| Epoch  41, time= 47.5s | Train: skip eval | Valid: time=  3.4s loss=0.661, TAw acc= 98.5% |
| Epoch  42, time= 48.2s | Train: skip eval | Valid: time=  3.3s loss=0.655, TAw acc= 99.5% |
| Epoch  43, time= 48.3s | Train: skip eval | Valid: time=  3.3s loss=0.656, TAw acc= 99.5% |
| Epoch  44, time= 47.3s | Train: skip eval | Valid: time=  3.3s loss=0.658, TAw acc= 98.5% |
| Epoch  45, time= 48.4s | Train: skip eval | Valid: time=  3.3s loss=0.659, TAw acc= 99.5% |
| Epoch  46, time= 48.1s | Train: skip eval | Valid: time=  3.4s loss=0.655, TAw acc= 99.5% |
| Epoch  47, time= 48.1s | Train: skip eval | Valid: time=  3.3s loss=0.661, TAw acc= 99.5% |
| Epoch  48, time= 48.4s | Train: skip eval | Valid: time=  3.4s loss=0.663, TAw acc= 99.0% |
| Epoch  49, time= 47.7s | Train: skip eval | Valid: time=  3.4s loss=0.668, TAw acc= 99.0% |
| Epoch  50, time= 46.8s | Train: skip eval | Valid: time=  3.4s loss=0.665, TAw acc= 98.5% |
| Epoch  51, time= 47.4s | Train: skip eval | Valid: time=  3.3s loss=0.665, TAw acc= 99.5% |
| Epoch  52, time= 47.8s | Train: skip eval | Valid: time=  3.3s loss=0.676, TAw acc= 98.5% |
| Epoch  53, time= 48.2s | Train: skip eval | Valid: time=  3.4s loss=0.660, TAw acc= 99.5% |
| Epoch  54, time= 48.2s | Train: skip eval | Valid: time=  3.3s loss=0.652, TAw acc= 99.0% | *
| Epoch  55, time= 48.3s | Train: skip eval | Valid: time=  3.3s loss=0.652, TAw acc= 99.0% |
| Epoch  56, time= 47.7s | Train: skip eval | Valid: time=  3.4s loss=0.696, TAw acc= 97.0% |
| Epoch  57, time= 47.8s | Train: skip eval | Valid: time=  3.3s loss=0.657, TAw acc= 99.5% |
| Epoch  58, time= 48.2s | Train: skip eval | Valid: time=  3.4s loss=0.669, TAw acc= 98.5% |
| Epoch  59, time= 47.2s | Train: skip eval | Valid: time=  3.4s loss=0.663, TAw acc= 99.0% |
| Epoch  60, time= 46.9s | Train: skip eval | Valid: time=  3.4s loss=0.664, TAw acc= 99.0% |
| Epoch  61, time= 48.1s | Train: skip eval | Valid: time=  3.3s loss=0.664, TAw acc= 99.0% |
| Epoch  62, time= 47.3s | Train: skip eval | Valid: time=  3.3s loss=0.663, TAw acc= 99.0% |
| Epoch  63, time= 46.7s | Train: skip eval | Valid: time=  3.4s loss=0.682, TAw acc= 99.0% |
| Epoch  64, time= 48.2s | Train: skip eval | Valid: time=  3.4s loss=0.667, TAw acc= 99.0% |
| Epoch  65, time= 48.5s | Train: skip eval | Valid: time=  3.3s loss=0.660, TAw acc= 98.0% |
Stage 2: Training bias correction layers
| Epoch  50, time=  0.5s | Train: loss=0.246, TAg acc= 92.9% |
| Epoch 100, time=  0.5s | Train: loss=0.213, TAg acc= 95.2% |
| Epoch 150, time=  0.5s | Train: loss=0.278, TAg acc= 92.9% |
| Epoch 200, time=  0.5s | Train: loss=0.366, TAg acc= 90.5% |
Stage 2: BiC training for Task 0: alpha=1.00000, beta=0.00000
Stage 2: BiC training for Task 1: alpha=0.46401, beta=-0.76082
Stage 2: BiC training for Task 2: alpha=0.90488, beta=-0.29782
| Selected 357 train exemplars, time= 18.9s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.375 | TAw acc= 98.4%, forg= -1.3%| TAg acc= 89.3%, forg=  7.8% <<<
>>> Test on task  1 : loss=0.884 | TAw acc= 88.3%, forg=  0.0%| TAg acc= 69.2%, forg=  7.8% <<<
>>> Test on task  2 : loss=0.728 | TAw acc= 96.8%, forg=  0.0%| TAg acc= 95.3%, forg=  0.0% <<<
Save at results/ntu_bic
************************************************************************************************************
Task  3
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 45 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time= 34.2s | Train: skip eval | Valid: time=  2.3s loss=1.111, TAw acc= 97.0% | *
| Epoch   2, time= 34.5s | Train: skip eval | Valid: time=  2.3s loss=1.094, TAw acc= 97.7% | *
| Epoch   3, time= 33.9s | Train: skip eval | Valid: time=  2.2s loss=1.128, TAw acc= 98.5% |
| Epoch   4, time= 34.4s | Train: skip eval | Valid: time=  2.3s loss=1.061, TAw acc= 97.7% | *
| Epoch   5, time= 33.8s | Train: skip eval | Valid: time=  2.3s loss=1.126, TAw acc= 98.5% |
| Epoch   6, time= 34.9s | Train: skip eval | Valid: time=  2.3s loss=1.035, TAw acc= 98.5% | *
| Epoch   7, time= 34.8s | Train: skip eval | Valid: time=  2.3s loss=1.110, TAw acc= 98.5% |
| Epoch   8, time= 33.7s | Train: skip eval | Valid: time=  2.3s loss=1.059, TAw acc= 98.5% |
| Epoch   9, time= 33.7s | Train: skip eval | Valid: time=  2.3s loss=1.049, TAw acc= 98.5% |
| Epoch  10, time= 34.2s | Train: skip eval | Valid: time=  2.3s loss=1.063, TAw acc= 98.5% |
| Epoch  11, time= 34.8s | Train: skip eval | Valid: time=  2.3s loss=1.070, TAw acc= 98.5% |
| Epoch  12, time= 34.6s | Train: skip eval | Valid: time=  2.3s loss=1.079, TAw acc= 98.5% |
| Epoch  13, time= 35.0s | Train: skip eval | Valid: time=  2.3s loss=1.082, TAw acc= 97.7% |
| Epoch  14, time= 34.8s | Train: skip eval | Valid: time=  2.3s loss=1.050, TAw acc= 98.5% |
| Epoch  15, time= 33.9s | Train: skip eval | Valid: time=  2.2s loss=1.065, TAw acc= 98.5% |
| Epoch  16, time= 34.9s | Train: skip eval | Valid: time=  2.2s loss=1.125, TAw acc= 98.5% |
| Epoch  17, time= 34.8s | Train: skip eval | Valid: time=  2.3s loss=1.052, TAw acc= 97.7% |
| Epoch  18, time= 33.9s | Train: skip eval | Valid: time=  2.2s loss=1.075, TAw acc= 98.5% |
| Epoch  19, time= 34.8s | Train: skip eval | Valid: time=  2.4s loss=1.062, TAw acc= 98.5% |
| Epoch  20, time= 34.0s | Train: skip eval | Valid: time=  2.3s loss=1.057, TAw acc= 98.5% |
| Epoch  21, time= 33.8s | Train: skip eval | Valid: time=  2.3s loss=1.075, TAw acc= 97.0% |
| Epoch  22, time= 34.8s | Train: skip eval | Valid: time=  2.3s loss=1.065, TAw acc= 98.5% |
| Epoch  23, time= 34.9s | Train: skip eval | Valid: time=  2.2s loss=1.044, TAw acc= 97.0% |
| Epoch  24, time= 34.9s | Train: skip eval | Valid: time=  2.3s loss=1.073, TAw acc= 98.5% |
| Epoch  25, time= 34.8s | Train: skip eval | Valid: time=  2.3s loss=1.057, TAw acc= 97.7% |
| Epoch  26, time= 34.8s | Train: skip eval | Valid: time=  2.3s loss=1.063, TAw acc= 98.5% |
| Epoch  27, time= 34.1s | Train: skip eval | Valid: time=  2.3s loss=1.070, TAw acc= 97.0% |
| Epoch  28, time= 34.0s | Train: skip eval | Valid: time=  2.4s loss=1.084, TAw acc= 98.5% |
